Норем тендеру,Дата публікації,Дата подачі пропозицій,Назва,Організатор,Код ЄДРПОУ,Вартість,Посилання
2130647,Опубліковано: 15.02.2018,Прийом пропозицій до: 03.03.2018 09:23,Послуги телефонного зв’язку та передачі даних (послуги надання доступу до мережі Інтернет) Код державного класифікатора продукції та послуг  ДК 021:2015 –  (CPV:2008) (64210000-1),"ДП ""Чернігівська дирекція УДППЗ ""Укрпошта""""",25572588,1 517 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3480215/
2163628,Опубліковано: 22.02.2018,Прийом пропозицій до: 01.03.2018 16:00,Код CPV ДК 021:2015 - 72410000-7 Послуги провайдерів (послуги у мережі Інтернет),Маріупольське комунальне підприємство зеленого будівництва,3361845,21 912.5 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3535950/
2130414,Опубліковано: 15.02.2018,Прийом пропозицій до: 05.03.2018 10:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Херсонської дирекції ПАТ «Укрпошта» - 10 точок м. Херсон).,"ДП ""Херсонська дирекція УДППЗ ""Укрпошта""""",22740252,144 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3479826/
2130354,Опубліковано: 15.02.2018,Прийом пропозицій до: 05.03.2018 10:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Херсонської дирекції ПАТ «Укрпошта» - 83 точки м. Херсон).,"ДП ""Херсонська дирекція УДППЗ ""Укрпошта""""",22740252,1 360 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3479727/
2146966,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 00:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Волинської дирекції ПАТ «Укрпошта») –  19 точок підключення (5 точок Володимир-Волинського району, 1 точка Горохівського району, 1 точка Іваничівського району, 1 точка Камінь -Каширського району...","ДП ""Волинська дирекція УДППЗ ""Укрпошта""""",20134234,302 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507596/
2140728,Опубліковано: 16.02.2018,Прийом пропозицій до: 06.03.2018 12:00,ДК 021:2015 – 64210000-1 Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Хмельницької дирекції ПАТ «Укрпошта»),"ДП ""Хмельницька дирекція УДППЗ ""Укрпошта""""",21344146,388 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3497152/
2173980,Опубліковано: 26.02.2018,Прийом пропозицій до: 01.03.2018 12:00,"Послуги Інтернет
 (код CPV 72410000-7  Послуги провайдерів (Інтернет-послуги))",Печерська районна в місті Києві державна адміністрація,37401206,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3553788/
2156975,Опубліковано: 21.02.2018,Прийом пропозицій до: 09.03.2018 13:43,Послуги з підключення та надання доступу до мережі Інтернет,Департамент патрульної поліції,40108646,1 200 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3524775/
2146746,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 00:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Волинської дирекції ПАТ «Укрпошта») –  7 точок підключення (6 точок Луцького району, 1 точка м. Луцьк)","ДП ""Волинська дирекція УДППЗ ""Укрпошта""""",20134234,111 300 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507226/
2146881,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 00:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Волинської дирекції ПАТ «Укрпошта») –  9 точок підключення  (6 точок Ратнівського району, 3 точки Шацького району)","ДП ""Волинська дирекція УДППЗ ""Укрпошта""""",20134234,143 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507461/
2165699,Опубліковано: 22.02.2018,Прийом пропозицій до: 12.03.2018 10:00,Послуги телефонного зв’язку та передачі даних  (Послуги надання доступу до всесвітньої мережі Інтернет для Вінницької дирекції ПАТ «Укрпошта»)   ДК 021:2015 642100000-1,"ДП ""Вінницька дирекція УДППЗ ""Укрпошта""""",20116650,1 159 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3539309/
2180463,Опубліковано: 27.02.2018,Прийом пропозицій до: 14.03.2018 13:00,"Послуги телефонного зв’язку та передачі даних  (Послуги надання доступу до всесвітньої мережі Інтернет  для Донецької дирекції ПАТ ""Укрпошта"") ДК 021:2015 - 64210000-1","ДП ""Донецька дирекція Українського державного підприємства поштового зв`язку Укрпошта""",22020055,842 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3565012/
2174709,Опубліковано: 26.02.2018,Прийом пропозицій до: 28.02.2018 14:00,Послуга по забезпеченню доступу до  мережі Інтернет,Фінансове управління Святошинської районної в місті Києві державної адміністрації,37498625,15 520 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3555067/
2168487,Опубліковано: 23.02.2018,Прийом пропозицій до: 10.03.2018 12:00,"Послуги телефонного зв""язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет)","Миколаївська дирекція Українського державного підприємства почтового зв'язку ""Укрпошта""",25382899,1 843 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3544121/
2145964,Опубліковано: 19.02.2018,Прийом пропозицій до: 06.03.2018 16:12,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"") Димидівський, Радивилівський та Млинівський райони","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,97 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3505936/
2145692,Опубліковано: 19.02.2018,Прийом пропозицій до: 06.03.2018 15:43,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"") Гощанський  та Корецький райони","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,93 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3505471/
2147558,Опубліковано: 19.02.2018,Прийом пропозицій до: 06.03.2018 18:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"") Острозький район","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,122 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3508692/
2143667,Опубліковано: 19.02.2018,Прийом пропозицій до: 06.03.2018 12:28,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"") Дубровицький  та Зарічненський райони","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,133 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3502032/
2144376,Опубліковано: 19.02.2018,Прийом пропозицій до: 06.03.2018 13:30,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"") Сарненський та Рокитнівський райони","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,205 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3503261/
2147020,Опубліковано: 19.02.2018,Прийом пропозицій до: 06.03.2018 17:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"") Рівненський та Здолбунівський райони","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,252 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507692/
2145374,Опубліковано: 19.02.2018,Прийом пропозицій до: 06.03.2018 15:10,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"") Володимирецький та Костопільський райони","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,234 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3504914/
2183487,Опубліковано: 27.02.2018,Прийом пропозицій до: 14.03.2018 18:00,"Послуги телефонного зв’язку та передачі даних  (Послуги надання доступу до всесвітньої мережі Інтернет  для Донецької дирекції ПАТ ""Укрпошта"") ДК 021:2015 - 64210000-1","ДП ""Донецька дирекція Українського державного підприємства поштового зв`язку Укрпошта""",22020055,1 004 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3569936/
2175473,Опубліковано: 26.02.2018,Прийом пропозицій до: 05.03.2018 16:00,Код ДК 021:2015 – 64210000-1 Послуги телефонного зв’язку та передачі даних (Послуги  доступу до мережі Інтернет),Державне підприємство «Одеський морський торговельний порт»,1125666,240 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3556336/
2183247,Опубліковано: 27.02.2018,Прийом пропозицій до: 05.03.2018 12:00,Кабель для інтернету,Центр соціально-психологічної реабілітації дітей №1 Служби у справах дітей виконавчого органу Київсь,20076991,6 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3569587/
2171764,Опубліковано: 23.02.2018,Прийом пропозицій до: 05.03.2018 18:00,Послуги по обслуговуванню лінії зв’язку і постійного доступу до мережі Інтернет,"Комунальне некомерційне підприємство ""Центр первинної медико-санітарної допомоги"" Печерського району",26188550,59 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3549781/
2181236,Опубліковано: 27.02.2018,Прийом пропозицій до: 01.03.2018 14:30,"Послуги провайдерів (Інтернет-послуги за адресами: вул. В.Антоновича, буд.65; вул.Філософська, буд.62; вул.Шмідта, буд.26)","КУ ""ДНІПРОПЕТРОВСЬКЕ КЛІНІЧНЕ ОБ'ЄДНАННЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ДОР""",1984636,23 149 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3566288/
2127841,Опубліковано: 14.02.2018,Прийом пропозицій до: 02.03.2018 15:18,Комп'ютерні запчастини та мережеве обладнання,УкрНДІНанобіотехнологій,276044,14 050 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3475357/
2184929,Опубліковано: 28.02.2018,Прийом пропозицій до: 12.03.2018 13:00,"Послуги з постачання програмного забезпечення оперативно доступного (у режимі on-line) та його налаштування під потреби Замовника (Ліцензія на «Бітрікс24» (Команда, 12 місяців))","КЗ ""Дніпропетровська обласна клінічна лікарня ім. І.І. Мечникова""",1985423,23 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3572362/
2124608,Опубліковано: 14.02.2018,Прийом пропозицій до: 12.03.2018 09:00,"Проживання  415/619, 141/1","Державна установа ""Управління збірних команд та забезпечення спортивних заходів ""Укрспортзабезпеченн",3767831,97 300 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3469807/
2166035,Опубліковано: 22.02.2018,Прийом пропозицій до: 02.04.2018 09:00,"Проживання  м. Львів 482/784,  164/1.","Державна установа ""Управління збірних команд та забезпечення спортивних заходів ""Укрспортзабезпеченн",3767831,82 250 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3539880/
963524,Опубліковано: 20.04.2017,Прийом пропозицій до: 27.04.2017 17:00,Код ДК 021-2015 - 72411000-4 - Постачальники Інтернет-послуг (підключення супутникового інтернету та абонплата за послуги супутникового інтернету),"ДП ""Національний природний парк Деснянсько-Старогутський""",24006786,5 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1527004/
991073,Опубліковано: 28.04.2017,Прийом пропозицій до: 08.05.2017 17:00,Код ДК 021-2015 - 72411000-4 - Постачальники Інтернет-послуг (підключення супутникового інтернету та абонплата за послуги супутникового інтернету),"ДП ""Національний природний парк Деснянсько-Старогутський""",24006786,5 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1574425/
145821,Опубліковано: 20.04.2016,Прийом пропозицій до: 27.04.2016 10:00,Послуги зв'язку Інтернетом проводними мережами (Постачальники Інтернет-послуг (послуги Інтернет),Департамент (Центр) надання адміністративних послуг виконавчого органу Київської міської ради (Київс,39785346,77 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/145404/
2000615,Опубліковано: 23.01.2018,Прийом пропозицій до: 07.02.2018 17:00,ДК 021:2015-72411000-4 Постачальники інтернет-послуг (Послуги доступу до міжнародної комп’ютерної мережі ),"Державне підприємство ""СЕТАМ"" Міністерства юстиції України",39958500,384 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3253465/
