Норем тендеру,Дата публікації,Дата подачі пропозицій,Назва,Компанія,Контакти,Вартість,Посилання
2025046,Опубліковано: 25.01.2018,Прийом пропозицій до: 30.01.2018 10:00,Послуги провайдерів (надання доступу до мережі Інтернет через канал безпосереднього зв’язку),Київська міська дитяча клінічна лікарня №1,"Контактна особа
Кожара Юрій Олександрович
380442013256
kmdkl1@ukr.net
04655, Україна, Київська обл., Київ, вул. Богатирська, 30
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivska-mska-dityacha-klnchna-lkarnya-/",5 760 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3295369/
1964087,Опубліковано: 15.01.2018,Прийом пропозицій до: 30.01.2018 22:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет) Код ДК 021:2015 64210000-1,"ДП ""Полтавська дирекція УДППЗ ""Укрпошта""""","Контактна особа
Віра Миколаївна Головаха
+380509504641
urist_poltava@ukrposhta.com
36000, Україна, Полтавська обл., Полтава, вул. 1100 річчя Полтави, 2, м. Полтава, 36000
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-poltavska-direktsya-udppz-ukrposhta/",2 386 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3193237/
1995312,Опубліковано: 22.01.2018,Прийом пропозицій до: 30.01.2018 10:00,"Послуги з обслуговування мережі передачі даних з організацією підмереж, послуги Інтернет, забезпечення онлайн-трансляцій",Виконавчий комітет Чернівецької міської ради,"Контактна особа
Оксана Воробець
+380372524314
tender.rada.cv@email.ua
58000, Україна, Чернівецька обл., Чернівці, площа Центральна, 1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vikonavchiy-komtet-chernvetsko-msko-radi/",42 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3244589/
1997490,Опубліковано: 22.01.2018,Прийом пропозицій до: 06.02.2018 20:00,Послуги телекомунікаційні з доступу до мережі Інтернет  (Одеське відділення)),Філія «Головний інформаційно-обчислювальний центр» ПАТ «Українська залізниця»,"Контактна особа
Коваль Іван
+38 (044) 445 29 02
ikoval@sw.uz.gov.ua
01030, Україна, Київська обл., Київ, вул. І. Франка, 21
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/flya-golovniy-nformatsynoobchislyuvalniy-tsentr-pat-ukranska-zalznitsya/",91 663 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3248176/
2007824,Опубліковано: 23.01.2018,Прийом пропозицій до: 30.01.2018 17:00,Інтернет -послуги для підрозділів і користувачів ЦПМСП №5,"Комунальний заклад Маріупольської міської ради ""Центр первинної медико-санітарної допомоги №5 м.Марі","Контактна особа
Жмиря Світлана Ігорівна
380675914024
centr5.mariupol@ukr.net
87545, Україна, Донецька обл., Маріуполь, вул. Орджонікідзе, 56
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalniy-zaklad-marupolsko-msko-radi-tsentr-pervinno-medikosantarno-dopomogi--mmar/",6 700 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3265647/
2028036,Опубліковано: 26.01.2018,Прийом пропозицій до: 31.01.2018 10:55,Підключення до мережі інтернет та надання інтернет послуг,Дніпропетровський міський комунальний заклад культури Централізована система публічних бібліотек для,"Контактна особа
Мілкіна Надія Іванівна
+380567447788
nadiya.milkina@gmail.com
49000, Україна, Дніпропетровська обл., Дніпро, вул. Леніна, 23
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dnpropetrovskiy-mskiy-komunalniy-zaklad-kulturi-tsentralzovana-sistema-publchnih-bblotek-dlya/",59 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3300561/
2025232,Опубліковано: 25.01.2018,Прийом пропозицій до: 30.01.2018 17:03,Надання інтернет послуг (Бібліотеки - філіали),Дніпропетровський міський комунальний заклад культури Централізована система публічних бібліотек для,"Контактна особа
Мілкіна Надія Іванівна
+380567447788
nadiya.milkina@gmail.com
49000, Україна, Дніпропетровська обл., Дніпро, вул. Леніна, 23
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dnpropetrovskiy-mskiy-komunalniy-zaklad-kulturi-tsentralzovana-sistema-publchnih-bblotek-dlya/",23 350 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3295573/
1990972,Опубліковано: 19.01.2018,Прийом пропозицій до: 07.02.2018 18:00,Послуги провайдерів за кодом ДК 021:2015 – 72410000-7 (послуги захисту зовнішніх електронних інформаційних сервісів Фонду гарантування вкладів фізичних осіб від зловмисних атак в мережі Інтернет),Фонд гарантування вкладів фізичних осіб,"Контактна особа
Вадим Канцедал
+380443333566
kantsedal@fg.gov.ua
01032, Україна, Київська обл., Київ, м.Київ, БУЛЬВАР ТАРАСА ШЕВЧЕНКА, будинок 33-Б
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/fond-garantuvannya-vkladv-fzichnih-osb/",273 080 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3236885/
2025127,Опубліковано: 25.01.2018,Прийом пропозицій до: 12.02.2018 12:00,"ДК 021:2015: 72410000-7 - Послуги провайдерів (Лот 1 - надання доступу до мережі Інтернет по окремому каналу зв’язку та резервуватися по каналу зв’язку який фізично побудований іншим маршрутом, загальною швидкістю зі швидкістю не менше 3 280 Мбіт/с, (до українських та іноземних ресурсів) з яких до 2...",Військова частина 2428,"Контактна особа
Присяжнюк Тетяна
+380445276511
RRZaynullin@pvu.gov.ua
Україна, Київська обл., Київ, м. Київ, вул. Народна буд. 54 А
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vyskova-chastina-/",743 820 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3295450/
1996045,Опубліковано: 22.01.2018,Прийом пропозицій до: 29.01.2018 17:00,Надання послуги доступу до мережі Інтернет (16 об'єктів по м. Дніпро),"Міський комунальний заклад культури ""Централізована система бібліотек для дітей""""","Контактна особа
Марина Завгородняя
+380686827675,+380662306003,+380631245985
02215696@ukr.net
49023, Україна, Дніпропетровська обл., Дніпро, Пр-т Воронцова, 3
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/mskiy-komunalniy-zaklad-kulturi-tsentralzovana-sistema-bblotek-dlya-dtey/",45 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3245846/
2036188,Опубліковано: 29.01.2018,Прийом пропозицій до: 15.02.2018 12:00,"Послуги телефонного зв’язку та передачі даних  (Послуги надання доступу до всесвітньої мережі Інтернет для Вінницької дирекції ПАТ «Укрпошта» Немирівський, Калинівський, Вінницький, Літинський райони – 9 точок)","ДП ""Вінницька дирекція УДППЗ ""Укрпошта""""","Контактна особа
Олена  Берднікова
+380432592262,+380674024476
juridichniy_vinnitsa@ukrposhta.com
21050, Україна, Вінницька обл., Вінниця, Соборна 59
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-vnnitska-direktsya-udppz-ukrposhta/",153 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3314648/
2032566,Опубліковано: 26.01.2018,Прийом пропозицій до: 15.02.2018 10:30,Послуги телефонного зв’язку та передачі даних  (Послуги надання доступу до всесвітньої мережі Інтернет для Вінницької дирекції ПАТ «Укрпошта»Бершадський район – 12 точок),"ДП ""Вінницька дирекція УДППЗ ""Укрпошта""""","Контактна особа
Олена  Берднікова
+380432592262,+380674024476
juridichniy_vinnitsa@ukrposhta.com
21050, Україна, Вінницька обл., Вінниця, Соборна 59
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-vnnitska-direktsya-udppz-ukrposhta/",181 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3308082/
2032027,Опубліковано: 26.01.2018,Прийом пропозицій до: 15.02.2018 11:00,Послуги телефонного зв’язку та передачі даних  (Послуги надання доступу до всесвітньої мережі Інтернет для Вінницької дирекції ПАТ «Укрпошта» м. Вінниці -30 точок),"ДП ""Вінницька дирекція УДППЗ ""Укрпошта""""","Контактна особа
Олена  Берднікова
+380432592262,+380674024476
juridichniy_vinnitsa@ukrposhta.com
21050, Україна, Вінницька обл., Вінниця, Соборна 59
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-vnnitska-direktsya-udppz-ukrposhta/",538 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3307181/
2032820,Опубліковано: 26.01.2018,Прийом пропозицій до: 16.02.2018 10:00,Послуги телефонного зв’язку та передачі даних  (Послуги надання доступу до всесвітньої мережі Інтернет для Вінницької дирекції ПАТ «Укрпошта» Чечельницький район – 2 точки),"ДП ""Вінницька дирекція УДППЗ ""Укрпошта""""","Контактна особа
Олена  Берднікова
+380432592262,+380674024476
juridichniy_vinnitsa@ukrposhta.com
21050, Україна, Вінницька обл., Вінниця, Соборна 59
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-vnnitska-direktsya-udppz-ukrposhta/",32 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3308499/
2027001,Опубліковано: 26.01.2018,Прийом пропозицій до: 30.01.2018 09:30,Послуги зв’язку,Відділ культури та охорони культурної спадщини Святошинської районної в місті Києві державної адміні,"Контактна особа
Бойко Людмила Валентинівна
380444248415
kultura-112@ukr.net
03115, Україна, Київська обл., Київ, Проспект Перемоги, 112
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vddl-kulturi-ta-ohoroni-kulturno-spadshchini-svyatoshinsko-rayonno-v-mst-kiv-derzhavno-admn/",49 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3298731/
2005832,Опубліковано: 23.01.2018,Прийом пропозицій до: 07.02.2018 17:00,"Послуги із забезпечення доступу органів місцевого самоврядування до мережі Інтернет у будівлі Дніпровської міської ради за адресою м. Дніпро, вул. Орловська, буд. 33А",Управління інформаційних технологій Дніпропетровської міської ради,"Контактна особа
Зайцева Ірина
+380677551640
infotehnologu@gmail.com
Україна, Дніпропетровська обл., Дніпро
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/upravlnnya-nformatsynih-tehnology-dnpropetrovsko-msko-radi/",3 300 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3262289/
1979671,Опубліковано: 18.01.2018,Прийом пропозицій до: 05.02.2018 16:00,ДК 021:2015 – 64210000-1 Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Хмельницької дирекції ПАТ «Укрпошта»),"ДП ""Хмельницька дирекція УДППЗ ""Укрпошта""""","Контактна особа
Лілія Бажан
+380674004269
bazhan-lp@ukrposhta.ua
29007, Україна, Хмельницька обл., Хмельницький, Проскурівська 90
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-hmelnitska-direktsya-udppz-ukrposhta/",1 242 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3218859/
2023471,Опубліковано: 25.01.2018,Прийом пропозицій до: 29.01.2018 17:00,послуги Інтернет,"Музей видатних діячів української культури Лесі Українки,Миколи Лисенка,Панаса Саксаганського,Михайл","Контактна особа
Киричок Наталія Володимирівна
380442882890
museumbuh@ukr.net
01032, Україна, Київська обл., Київ, вул.Саксаганського,б.97
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/muzey-vidatnih-dyachv-ukransko-kulturi-les-ukrankimikoli-lisenkapanasa-saksaganskogomihayl/",12 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3292782/
2020542,Опубліковано: 25.01.2018,Прийом пропозицій до: 29.01.2018 18:00,Послуги з надання доступу до мережі Інтернет,Святошинська районна в місті Києві державна адміністрація,"Контактна особа
Склярук Валентин Васильович
380444502817
buhgalterijasrda@ukr.net
03115, Україна, Київська обл., Київ, пр-т. Перемоги, 97
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/svyatoshinska-rayonna-v-mst-kiv-derzhavna-admnstratsya/",6 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3287995/
2020537,Опубліковано: 25.01.2018,Прийом пропозицій до: 29.01.2018 18:00,Послуги з надання доступу до мережі Інтернет,Святошинська районна в місті Києві державна адміністрація,"Контактна особа
Склярук Валентин Васильович
380444502817
buhgalterijasrda@ukr.net
03115, Україна, Київська обл., Київ, пр-т. Перемоги, 97
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/svyatoshinska-rayonna-v-mst-kiv-derzhavna-admnstratsya/",5 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3287990/
2020606,Опубліковано: 25.01.2018,Прийом пропозицій до: 29.01.2018 18:00,Послуги з надання доступу до мережі Інтернет,Святошинська районна в місті Києві державна адміністрація,"Контактна особа
Склярук Валентин Васильович
380444502817
buhgalterijasrda@ukr.net
03115, Україна, Київська обл., Київ, пр-т. Перемоги, 97
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/svyatoshinska-rayonna-v-mst-kiv-derzhavna-admnstratsya/",16 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3288134/
2020546,Опубліковано: 25.01.2018,Прийом пропозицій до: 29.01.2018 18:00,Послуги з надання доступу до мережі Інтернет,Святошинська районна в місті Києві державна адміністрація,"Контактна особа
Склярук Валентин Васильович
380444502817
buhgalterijasrda@ukr.net
03115, Україна, Київська обл., Київ, пр-т. Перемоги, 97
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/svyatoshinska-rayonna-v-mst-kiv-derzhavna-admnstratsya/",12 650 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3287999/
2024332,Опубліковано: 25.01.2018,Прийом пропозицій до: 09.02.2018 17:00,"Послуги телефонного зв’язку та передачі даних  (Послуги надання доступу до всесвітньої мережі Інтернет  для Донецької дирекції ПАТ ""Укрпошта"") ДК 021:2015 - 64210000-1","ДП ""Донецька дирекція Українського державного підприємства поштового зв`язку Укрпошта""","Контактна особа
Денис Андреев
+380503608260
andreev-dp@ukrposhta.ua
84122, Україна, Донецька обл., Донецьк, вул. Свободи,1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-donetska-direktsya-ukranskogo-derzhavnogo-pdprimstva-poshtovogo-zv`yazku-ukrposhta/",3 785 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3294119/
2021982,Опубліковано: 25.01.2018,Прийом пропозицій до: 01.02.2018 10:25,"Газети, періодичні спеціалізовані та інші періодичні видання і журнали (Періодичні видання)",Шкірно-венерологічний диспансер №1 Дніпровського району м. Києва,"Контактна особа
Бичкова Дар'я Сергіївна
380445018509
changda@ukr.net
02002, Україна, Київська обл., Київ, Чернігівська, 38/2
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/shkrnovenerologchniy-dispanser--dnprovskogo-rayonu-m-kiva/",19 394 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3290354/
2020414,Опубліковано: 25.01.2018,Прийом пропозицій до: 31.01.2018 12:00,Послуги технічного обслуговування комп`ютерів,"Комунальний навчальний заклад ""Київський міський центр перепідготовки та підвищення кваліфікації пра","Контактна особа
Ковшов Костянтин Анатолійович
380445212075
zakupivli@cpk.org.ua
03150, Україна, Київська обл., Київ, Лабораторна, 1/62, літ.А
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalniy-navchalniy-zaklad-kivskiy-mskiy-tsentr-perepdgotovki-ta-pdvishchennya-kvalfkats-pra/",26 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3287792/
2032210,Опубліковано: 26.01.2018,Прийом пропозицій до: 02.02.2018 16:00,Підключення до мережі Інтернет та надання інтернет-послуг,Управління освіти міської ради міста Костянтинівка,"Контактна особа
Олег Свистунов
+380660158158
gorodok.kn@i.ua
85102, Україна, Донецька обл., Костянтинівка, проспект Ломоносова 150
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/upravlnnya-osvti-msko-radi-msta-kostyantinvka/",66 520 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3307506/
2037212,Опубліковано: 29.01.2018,Прийом пропозицій до: 05.02.2018 11:06,Послуги з доступу до мережі Інтернет (72400000-4),"КП ""ІНФО-РАДА-ДНІПРО ДМР""","Контактна особа
Льовочкін Вадим Миколайович
+380677153723
inforadadnipro@gmail.com
49000, Україна, Дніпропетровська обл., Дніпро, пр.Карла Маркса 75
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kp-nforadadnpro-dmr/",24 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3316555/
2039242,Опубліковано: 29.01.2018,Прийом пропозицій до: 11.02.2018 16:00,послуги з доступу до мережі Інтернет,ІНСПЕКЦІЯ МІСЬКОЇ РАДИ З БЛАГОУСТРОЮ М.МАРІУПОЛЯ,"Контактна особа
Сергей Цололо
0629529879, +30629529879, +380629529879, +529879
ati-gorsovet@ukr.net
87515, Україна, Донецька обл., Маріуполь, Донецька обл., місто Маріуполь, ВУЛИЦЯ ЕНГЕЛЬСА , будинок 62
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/nspektsya-msko-radi-z-blagoustroyu-mmarupolya/",5 639 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3320089/
2019702,Опубліковано: 25.01.2018,Прийом пропозицій до: 01.02.2018 11:00,Послуги з доступу до мережі Інтернет та передачі даних,Департамент корпоративних прав та правового забезпечення Дніпропетровської міської ради,"Контактна особа
Рева Тетяна Олексіївна
380672746374
reva.tanya@gmail.com
49000, Україна, Дніпропетровська обл., Дніпро, проспект Карла Маркса
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/departament-korporativnih-prav-ta-pravovogo-zabezpechennya-dnpropetrovsko-msko-radi/",11 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3286543/
2023914,Опубліковано: 25.01.2018,Прийом пропозицій до: 31.01.2018 15:00,Технічне обслуговування засобів пожежної безпеки та спостереження за спрацюванням засобів пожежної безпеки.,Київський міський центр судово-психіатричної експертизи,"Контактна особа
Опейда Світлана Володимирівна
380444687868
kmcspe@health.kiev.ua
04655, Україна, Київська обл., Київ, Кирилівська, 103А
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivskiy-mskiy-tsentr-sudovopsihatrichno-ekspertizi/",22 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3293389/
2037935,Опубліковано: 29.01.2018,Прийом пропозицій до: 31.01.2018 12:00,Послуги доступу до мережі інтернет,"Комунальний позашкільний навчальний заклад ""Київська Мала академія наук учнівської молоді""","Контактна особа
Меленний Олександр Борисович
380444893716
4103@ukr.net
01010, Україна, Київська обл., Київ, вул. Івана Мазепи, 13
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalniy-pozashklniy-navchalniy-zaklad-kivska-mala-akademya-nauk-uchnvsko-molod/",18 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3317800/
2023699,Опубліковано: 25.01.2018,Прийом пропозицій до: 07.02.2018 09:00,Розміщення контекстної реклами в інтернеті .,"ККУП ""ФІНАНСОВА КОМПАНІЯ ""ЖИТЛО-ІНВЕСТ""","Контактна особа
Харченко Сергій Володимирович
380442012068
HSV1979@ukr.net
01034, Україна, Київська обл., Київ, м.Київ, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 42
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/-kkup-fnansova-kompanya-zhitlonvest/",155 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3293068/
